serial,ppg,ppg_h,timestamp
13,-85.0,-63.0,2021-05-06 21:08:50+00:00
14,-65.0,-63.0,2021-05-06 21:08:50+00:00
15,-75.0,-63.0,2021-05-06 21:08:50+00:00
16,78.0,-63.0,2021-05-06 21:08:50+00:00
17,-51.0,-64.0,2021-05-06 21:08:50+00:00
18,103.0,-64.0,2021-05-06 21:08:50+00:00
19,37.0,-64.0,2021-05-06 21:08:50+00:00
20,1.0,-64.0,2021-05-06 21:08:50+00:00
21,-14.0,-65.0,2021-05-06 21:08:50+00:00
22,-24.0,-65.0,2021-05-06 21:08:50+00:00
23,-32.0,-65.0,2021-05-06 21:08:50+00:00
24,-37.0,-112.0,2021-05-06 21:08:50+00:00
0,-38.0,-65.0,2021-05-06 21:08:51+00:00
1,-22.0,-65.0,2021-05-06 21:08:51+00:00
2,-7.0,-65.0,2021-05-06 21:08:51+00:00
3,18.0,-64.0,2021-05-06 21:08:51+00:00
4,49.0,-64.0,2021-05-06 21:08:51+00:00
5,75.0,-64.0,2021-05-06 21:08:51+00:00
6,39.0,-64.0,2021-05-06 21:08:51+00:00
7,-74.0,-65.0,2021-05-06 21:08:51+00:00
8,72.0,-65.0,2021-05-06 21:08:51+00:00
9,-6.0,-66.0,2021-05-06 21:08:51+00:00
10,-46.0,-66.0,2021-05-06 21:08:51+00:00
11,-61.0,-66.0,2021-05-06 21:08:51+00:00
12,-60.0,-66.0,2021-05-06 21:08:51+00:00
13,-64.0,-66.0,2021-05-06 21:08:51+00:00
14,-67.0,-66.0,2021-05-06 21:08:51+00:00
15,-61.0,-66.0,2021-05-06 21:08:51+00:00
16,-50.0,-66.0,2021-05-06 21:08:51+00:00
17,-31.0,-66.0,2021-05-06 21:08:51+00:00
18,-4.0,-66.0,2021-05-06 21:08:51+00:00
19,27.0,-65.0,2021-05-06 21:08:51+00:00
20,58.0,-65.0,2021-05-06 21:08:51+00:00
21,48.0,-65.0,2021-05-06 21:08:51+00:00
22,-47.0,-66.0,2021-05-06 21:08:51+00:00
23,97.0,-66.0,2021-05-06 21:08:51+00:00
24,23.0,-127.0,2021-05-06 21:08:51+00:00
0,-18.0,-67.0,2021-05-06 21:08:52+00:00
1,-35.0,-67.0,2021-05-06 21:08:52+00:00
2,-33.0,-67.0,2021-05-06 21:08:52+00:00
3,-29.0,-67.0,2021-05-06 21:08:52+00:00
4,-22.0,-67.0,2021-05-06 21:08:52+00:00
5,-15.0,-67.0,2021-05-06 21:08:52+00:00
6,1.0,-66.0,2021-05-06 21:08:52+00:00
7,28.0,-66.0,2021-05-06 21:08:52+00:00
8,59.0,-66.0,2021-05-06 21:08:52+00:00
9,100.0,-66.0,2021-05-06 21:08:52+00:00
10,-111.0,-66.0,2021-05-06 21:08:52+00:00
11,-72.0,-66.0,2021-05-06 21:08:52+00:00
12,-92.0,-66.0,2021-05-06 21:08:52+00:00
13,66.0,-66.0,2021-05-06 21:08:52+00:00
14,-37.0,-67.0,2021-05-06 21:08:52+00:00
15,-100.0,-67.0,2021-05-06 21:08:52+00:00
16,126.0,-67.0,2021-05-06 21:08:52+00:00
17,116.0,-67.0,2021-05-06 21:08:52+00:00
18,117.0,-67.0,2021-05-06 21:08:52+00:00
19,113.0,-67.0,2021-05-06 21:08:52+00:00
20,104.0,-67.0,2021-05-06 21:08:52+00:00
21,104.0,-67.0,2021-05-06 21:08:52+00:00
22,116.0,-67.0,2021-05-06 21:08:52+00:00
23,-121.0,-67.0,2021-05-06 21:08:52+00:00
24,-90.0,-8.0,2021-05-06 21:08:52+00:00
0,-53.0,-67.0,2021-05-06 21:08:53+00:00
1,-6.0,-67.0,2021-05-06 21:08:53+00:00
2,45.0,-66.0,2021-05-06 21:08:53+00:00
3,44.0,-66.0,2021-05-06 21:08:53+00:00
4,-34.0,-67.0,2021-05-06 21:08:53+00:00
5,-120.0,-67.0,2021-05-06 21:08:53+00:00
6,81.0,-67.0,2021-05-06 21:08:53+00:00
7,60.0,-67.0,2021-05-06 21:08:53+00:00
8,55.0,-67.0,2021-05-06 21:08:53+00:00
9,55.0,-67.0,2021-05-06 21:08:53+00:00
10,66.0,-67.0,2021-05-06 21:08:53+00:00
11,83.0,-67.0,2021-05-06 21:08:53+00:00
12,97.0,-67.0,2021-05-06 21:08:53+00:00
13,113.0,-67.0,2021-05-06 21:08:53+00:00
14,-103.0,-67.0,2021-05-06 21:08:53+00:00
15,-63.0,-67.0,2021-05-06 21:08:53+00:00
16,-18.0,-67.0,2021-05-06 21:08:53+00:00
17,10.0,-66.0,2021-05-06 21:08:53+00:00
18,61.0,-66.0,2021-05-06 21:08:53+00:00
19,69.0,-66.0,2021-05-06 21:08:53+00:00
20,22.0,-66.0,2021-05-06 21:08:53+00:00
21,-55.0,-67.0,2021-05-06 21:08:53+00:00
22,-127.0,-67.0,2021-05-06 21:08:53+00:00
23,118.0,-67.0,2021-05-06 21:08:53+00:00
24,120.0,-21.0,2021-05-06 21:08:53+00:00
0,-123.0,-67.0,2021-05-06 21:08:54+00:00
1,-100.0,-67.0,2021-05-06 21:08:54+00:00
2,-79.0,-67.0,2021-05-06 21:08:54+00:00
3,-60.0,-67.0,2021-05-06 21:08:54+00:00
4,-32.0,-67.0,2021-05-06 21:08:54+00:00
5,10.0,-66.0,2021-05-06 21:08:54+00:00
6,71.0,-66.0,2021-05-06 21:08:54+00:00
7,-123.0,-66.0,2021-05-06 21:08:54+00:00
8,-60.0,-66.0,2021-05-06 21:08:54+00:00
9,-31.0,-66.0,2021-05-06 21:08:54+00:00
10,-50.0,-66.0,2021-05-06 21:08:54+00:00
11,-106.0,-66.0,2021-05-06 21:08:54+00:00
12,61.0,-66.0,2021-05-06 21:08:54+00:00
13,-16.0,-67.0,2021-05-06 21:08:54+00:00
14,-45.0,-67.0,2021-05-06 21:08:54+00:00
15,-34.0,-67.0,2021-05-06 21:08:54+00:00
16,-14.0,-67.0,2021-05-06 21:08:54+00:00
17,4.0,-66.0,2021-05-06 21:08:54+00:00
18,22.0,-66.0,2021-05-06 21:08:54+00:00
19,54.0,-66.0,2021-05-06 21:08:54+00:00
20,98.0,-66.0,2021-05-06 21:08:54+00:00
21,-105.0,-66.0,2021-05-06 21:08:54+00:00
22,-29.0,-66.0,2021-05-06 21:08:54+00:00
23,67.0,-65.0,2021-05-06 21:08:54+00:00
24,-87.0,42.0,2021-05-06 21:08:54+00:00
0,74.0,-64.0,2021-05-06 21:08:55+00:00
1,-44.0,-64.0,2021-05-06 21:08:55+00:00
2,-10.0,-64.0,2021-05-06 21:08:55+00:00
3,-22.0,-64.0,2021-05-06 21:08:55+00:00
4,-73.0,-64.0,2021-05-06 21:08:55+00:00
5,72.0,-64.0,2021-05-06 21:08:55+00:00
6,-95.0,-65.0,2021-05-06 21:08:55+00:00
7,-75.0,-65.0,2021-05-06 21:08:55+00:00
8,-22.0,-65.0,2021-05-06 21:08:55+00:00
9,32.0,-64.0,2021-05-06 21:08:55+00:00
10,29.0,-64.0,2021-05-06 21:08:55+00:00
11,78.0,-64.0,2021-05-06 21:08:55+00:00
12,105.0,-64.0,2021-05-06 21:08:55+00:00
13,84.0,-63.0,2021-05-06 21:08:55+00:00
14,-25.0,-62.0,2021-05-06 21:08:55+00:00
15,33.0,-61.0,2021-05-06 21:08:55+00:00
16,27.0,-61.0,2021-05-06 21:08:55+00:00
17,4.0,-61.0,2021-05-06 21:08:55+00:00
18,-82.0,-62.0,2021-05-06 21:08:55+00:00
19,78.0,-62.0,2021-05-06 21:08:55+00:00
20,15.0,-62.0,2021-05-06 21:08:55+00:00
21,-8.0,-63.0,2021-05-06 21:08:55+00:00
22,-104.0,-63.0,2021-05-06 21:08:55+00:00
23,117.0,-63.0,2021-05-06 21:08:55+00:00
24,121.0,108.0,2021-05-06 21:08:55+00:00
0,111.0,-63.0,2021-05-06 21:08:56+00:00
1,77.0,-63.0,2021-05-06 21:08:56+00:00
2,83.0,-63.0,2021-05-06 21:08:56+00:00
3,121.0,-63.0,2021-05-06 21:08:56+00:00
4,-99.0,-63.0,2021-05-06 21:08:56+00:00
5,-68.0,-63.0,2021-05-06 21:08:56+00:00
6,-36.0,-63.0,2021-05-06 21:08:56+00:00
7,2.0,-62.0,2021-05-06 21:08:56+00:00
8,7.0,-62.0,2021-05-06 21:08:56+00:00
9,-76.0,-63.0,2021-05-06 21:08:56+00:00
10,65.0,-63.0,2021-05-06 21:08:56+00:00
11,-25.0,-64.0,2021-05-06 21:08:56+00:00
12,-86.0,-64.0,2021-05-06 21:08:56+00:00
13,-114.0,-64.0,2021-05-06 21:08:56+00:00
14,-117.0,-64.0,2021-05-06 21:08:56+00:00
15,-116.0,-64.0,2021-05-06 21:08:56+00:00
16,-110.0,-64.0,2021-05-06 21:08:56+00:00
17,-111.0,-64.0,2021-05-06 21:08:56+00:00
18,-97.0,-64.0,2021-05-06 21:08:56+00:00
19,-87.0,-64.0,2021-05-06 21:08:56+00:00
20,-70.0,-64.0,2021-05-06 21:08:56+00:00
21,-45.0,-64.0,2021-05-06 21:08:56+00:00
22,-17.0,-64.0,2021-05-06 21:08:56+00:00
23,10.0,-63.0,2021-05-06 21:08:56+00:00
24,2.0,23.0,2021-05-06 21:08:56+00:00
0,-89.0,-64.0,2021-05-06 21:08:57+00:00
1,46.0,-64.0,2021-05-06 21:08:57+00:00
2,-42.0,-65.0,2021-05-06 21:08:57+00:00
3,-100.0,-65.0,2021-05-06 21:08:57+00:00
4,126.0,-65.0,2021-05-06 21:08:57+00:00
5,114.0,-65.0,2021-05-06 21:08:57+00:00
6,107.0,-65.0,2021-05-06 21:08:57+00:00
7,103.0,-65.0,2021-05-06 21:08:57+00:00
8,102.0,-65.0,2021-05-06 21:08:57+00:00
9,105.0,-65.0,2021-05-06 21:08:57+00:00
10,118.0,-65.0,2021-05-06 21:08:57+00:00
11,-118.0,-65.0,2021-05-06 21:08:57+00:00
12,-100.0,-65.0,2021-05-06 21:08:57+00:00
13,-71.0,-65.0,2021-05-06 21:08:57+00:00
14,-42.0,-65.0,2021-05-06 21:08:57+00:00
15,-23.0,-65.0,2021-05-06 21:08:57+00:00
16,-84.0,-65.0,2021-05-06 21:08:57+00:00
17,61.0,-65.0,2021-05-06 21:08:57+00:00
18,-30.0,-66.0,2021-05-06 21:08:57+00:00
19,-87.0,-66.0,2021-05-06 21:08:57+00:00
20,-112.0,-66.0,2021-05-06 21:08:57+00:00
21,-106.0,-66.0,2021-05-06 21:08:57+00:00
22,-84.0,-66.0,2021-05-06 21:08:57+00:00
23,-51.0,-66.0,2021-05-06 21:08:57+00:00
24,-27.0,-19.0,2021-05-06 21:08:57+00:00
0,-7.0,-66.0,2021-05-06 21:08:58+00:00
1,12.0,-65.0,2021-05-06 21:08:58+00:00
2,33.0,-65.0,2021-05-06 21:08:58+00:00
3,60.0,-65.0,2021-05-06 21:08:58+00:00
4,104.0,-65.0,2021-05-06 21:08:58+00:00
5,-95.0,-65.0,2021-05-06 21:08:58+00:00
6,-40.0,-65.0,2021-05-06 21:08:58+00:00
7,-59.0,-65.0,2021-05-06 21:08:58+00:00
8,106.0,-65.0,2021-05-06 21:08:58+00:00
9,12.0,-65.0,2021-05-06 21:08:58+00:00
10,-38.0,-66.0,2021-05-06 21:08:58+00:00
11,-57.0,-66.0,2021-05-06 21:08:58+00:00
12,-60.0,-66.0,2021-05-06 21:08:58+00:00
13,-50.0,-66.0,2021-05-06 21:08:58+00:00
14,-44.0,-66.0,2021-05-06 21:08:58+00:00
15,-48.0,-66.0,2021-05-06 21:08:58+00:00
16,-44.0,-66.0,2021-05-06 21:08:58+00:00
17,-36.0,-66.0,2021-05-06 21:08:58+00:00
18,-21.0,-66.0,2021-05-06 21:08:58+00:00
19,10.0,-65.0,2021-05-06 21:08:58+00:00
20,57.0,-65.0,2021-05-06 21:08:58+00:00
21,95.0,-65.0,2021-05-06 21:08:58+00:00
22,-126.0,-65.0,2021-05-06 21:08:58+00:00
23,77.0,-65.0,2021-05-06 21:08:58+00:00
24,-36.0,64.0,2021-05-06 21:08:58+00:00
0,126.0,-66.0,2021-05-06 21:08:59+00:00
1,61.0,-66.0,2021-05-06 21:08:59+00:00
2,21.0,-66.0,2021-05-06 21:08:59+00:00
3,12.0,-66.0,2021-05-06 21:08:59+00:00
4,20.0,-66.0,2021-05-06 21:08:59+00:00
